,order_symbol,type,option_type,buy_amount,product,exchange_segement,symbol_token,filed_buy_qty,filed_sell_qty,sell_amount,strike_price,expiry_date
0,BANKNIFTY2460544000PE,OPTIDX,PE,0.00,MIS,nse_fo,35395,0,15,744.75,44000.00,"05 Jun, 2024"
1,BANKNIFTY2460554000CE,OPTIDX,CE,0.00,MIS,nse_fo,35961,0,15,948.00,54000.00,"05 Jun, 2024"
2,BANKNIFTY2460552000CE,OPTIDX,CE,1587.75,MIS,nse_fo,35843,15,45,4932.00,52000.00,"05 Jun, 2024"
3,BANKNIFTY2460545500PE,OPTIDX,PE,3685.50,MIS,nse_fo,35476,30,30,3347.25,45500.00,"05 Jun, 2024"
4,BANKNIFTY2460545000PE,OPTIDX,PE,0.00,MIS,nse_fo,35425,0,15,1470.75,45000.00,"05 Jun, 2024"
